pos,corr_resp,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,fixation.started,line1.started,line2.started,line3.started,line4.started,fixation.stopped,probe.started,key_resp.started,key_resp.keys,key_resp.corr,key_resp.rt,participant,session,date,expName,psychopyVersion,frameRate,,,,no.,sequential,random
150,v,8,1,33,1,,,,,102.2143275,103.2117793,103.2117793,103.2117793,103.2117793,103.2285099,104.2091565,104.2091565,v,1,0.215442,1,1,2022-09-30_13h30.39.796,tutorial_4,2022.2.4,60.17368533,,,,34,0.2211631,0.5457948
50,c,8,2,34,2,,,,,104.4417902,105.4390664,105.4390664,105.4390664,105.4390664,105.4556876,106.4365188,106.4365188,c,1,0.2291064,1,1,2022-09-30_13h30.39.796,tutorial_4,2022.2.4,60.17368533,,,,35,0.4745798,0.486405
-150,z,8,3,35,3,,,,,106.685246,107.6825574,107.6825574,107.6825574,107.6825574,107.6989831,108.68011,108.68011,z,1,0.2211631,1,1,2022-09-30_13h30.39.796,tutorial_4,2022.2.4,60.17368533,,,,36,0.1518931,0.4682831
-50,x,9,0,36,0,,,,,108.929812,109.9268206,109.9268206,109.9268206,109.9268206,109.9434309,110.9247583,110.9247583,x,1,0.4745798,1,1,2022-09-30_13h30.39.796,tutorial_4,2022.2.4,60.17368533,,,,37,0.0532262,0.6988064
150,v,9,1,37,1,,,,,111.4230776,112.4199589,112.4199589,112.4199589,112.4199589,112.436609,113.4174369,113.4174369,v,1,0.1518931,1,1,2022-09-30_13h30.39.796,tutorial_4,2022.2.4,60.17368533,,,,38,0.2070384,0.4601953
50,c,9,2,38,2,,,,,113.600338,114.5979062,114.5979062,114.5979062,114.5979062,114.6141292,115.594997,115.594997,c,1,0.0532262,1,1,2022-09-30_13h30.39.796,tutorial_4,2022.2.4,60.17368533,,,,39,0.44355,0.563283
-150,z,9,3,39,3,,,,,115.6774144,116.6746733,116.6746733,116.6746733,116.6746733,116.6912999,117.6720758,117.6720758,z,1,0.2070384,1,1,2022-09-30_13h30.39.796,tutorial_4,2022.2.4,60.17368533,,,,40,0.2686635,0.4482325
-50,x,10,0,40,0,,,,,117.9052732,118.9023428,118.9023428,118.9023428,118.9023428,118.9191678,119.9000948,119.9000948,x,1,0.44355,1,1,2022-09-30_13h30.39.796,tutorial_4,2022.2.4,60.17368533,,,,41,0.2186939,0.4292774
150,v,10,1,41,1,,,,,120.3656376,121.3628433,121.3628433,121.3628433,121.3628433,121.378783,122.3601065,122.3601065,v,1,0.2686635,1,1,2022-09-30_13h30.39.796,tutorial_4,2022.2.4,60.17368533,,,,42,0.2926201,0.5068487
50,c,10,2,42,2,,,,,122.6586561,123.6558855,123.6558855,123.6558855,123.6558855,123.6724322,124.6531935,124.6531935,c,1,0.2186939,1,1,2022-09-30_13h30.39.796,tutorial_4,2022.2.4,60.17368533,,,,43,0.1706498,0.426038
-150,z,10,3,43,3,,,,,124.9027732,125.9000298,125.9000298,125.9000298,125.9000298,125.9167093,126.8974162,126.8974162,z,1,0.2926201,1,1,2022-09-30_13h30.39.796,tutorial_4,2022.2.4,60.17368533,,,,44,0.2044472,0.4071086
-50,x,11,0,44,0,,,,,127.2133452,128.2102541,128.2102541,128.2102541,128.2102541,128.226997,129.2082976,129.2082976,x,1,0.1706498,1,1,2022-09-30_13h30.39.796,tutorial_4,2022.2.4,60.17368533,,,,45,0.2516065,0.4644674
150,v,11,1,45,1,,,,,129.4073937,130.4043978,130.4043978,130.4043978,130.4043978,130.4216546,131.4018779,131.4018779,v,1,0.2044472,1,1,2022-09-30_13h30.39.796,tutorial_4,2022.2.4,60.17368533,,,,46,0.2475553,0.6666164
