trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,num_distr,fixation.started,target.started,mouse.started,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,participant,session,date,expName,psychopyVersion,frameRate
87,0,87,0,10,250.1391102,250.1391102,0.0367412,[0.30462962962962964],[0.11851851851851852],[1],[0],[0],[1.9015192999504507],['target'],1,1,2022-09-29_17h00.18.301,Tutorial_3,2022.2.4,60.31494048
88,0,88,0,10,252.0833237,252.0833237,0.0412409,[0.4888888888888889],[-0.14444444444444443],[1],[0],[0],[1.9116533999331295],['target'],1,1,2022-09-29_17h00.18.301,Tutorial_3,2022.2.4,60.31494048
89,0,89,0,10,254.0384262,254.0384262,0.0321188,[0.3212962962962963],[0.23425925925925925],[1],[0],[0],[2.3047650000080466],['target'],1,1,2022-09-29_17h00.18.301,Tutorial_3,2022.2.4,60.31494048
90,0,90,0,5,256.366685,256.366685,0.023179,[-0.17592592592592593],[0.2361111111111111],[1],[0],[0],[1.6813064001034945],['target'],1,1,2022-09-29_17h00.18.301,Tutorial_3,2022.2.4,60.31494048
91,0,91,0,5,258.0771302,258.0771302,0.0235965,[0.175],[0.21481481481481482],[1],[0],[0],[1.582354199839756],['target'],1,1,2022-09-29_17h00.18.301,Tutorial_3,2022.2.4,60.31494048
92,0,92,0,10,259.7101839,259.7101839,0.0357142,[-0.22962962962962963],[-0.004629629629629629],[1],[0],[0],[1.5198222000617534],['target'],1,1,2022-09-29_17h00.18.301,Tutorial_3,2022.2.4,60.31494048
93,0,93,0,10,261.2631065,261.2631065,0.0338761,[-0.07037037037037037],[0.2490740740740741],[1],[0],[0],[1.6377477999776602],['target'],1,1,2022-09-29_17h00.18.301,Tutorial_3,2022.2.4,60.31494048
94,0,94,0,5,262.9375111,262.9375111,0.0275933,[0.11203703703703703],[-0.3712962962962963],[1],[0],[0],[1.6432579001411796],['target'],1,1,2022-09-29_17h00.18.301,Tutorial_3,2022.2.4,60.31494048
95,0,95,0,10,264.6500157,264.6500157,0.0517375,[0.3712962962962963],[0.33425925925925926],[1],[0],[0],[2.151934999972582],['target'],1,1,2022-09-29_17h00.18.301,Tutorial_3,2022.2.4,60.31494048
96,0,96,0,5,266.8289635,266.8289635,0.0286295,[-0.18055555555555555],[0.49537037037037035],[1],[0],[0],[3.8374476998578757],['target'],1,1,2022-09-29_17h00.18.301,Tutorial_3,2022.2.4,60.31494048
