trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,num_distr,fixation.started,target.started,mouse.started,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,participant,session,date,expName,psychopyVersion,frameRate,
106,0,106,0,10,291.83001479995437,291.83001479995437,0.0430605998262763,[0.262037037037037],[-0.006481481481481481],[1],[0],[0],[3.0588100000750273],['target'],01,001,2022-09-29_17h00.18.301,Tutorial_3,2022.2.4,60.31494047587652,
107,0,107,0,5,294.91035969997756,294.91035969997756,0.022820200072601438,[-0.04722222222222222],[-0.17962962962962964],[1],[0],[0],[1.9652984999120235],['target'],01,001,2022-09-29_17h00.18.301,Tutorial_3,2022.2.4,60.31494047587652,
108,0,108,0,5,296.9140300999861,296.9140300999861,0.030666100094094872,[0.2657407407407407],[-0.23333333333333334],[1],[0],[0],[2.0070865999441594],['target'],01,001,2022-09-29_17h00.18.301,Tutorial_3,2022.2.4,60.31494047587652,
109,0,109,0,10,298.9826537000481,298.9826537000481,0.050969399977475405,[0.4425925925925926],[-0.26296296296296295],[1],[0],[0],[1.9863739002030343],['target'],01,001,2022-09-29_17h00.18.301,Tutorial_3,2022.2.4,60.31494047587652,
110,0,110,0,10,301.0177486001048,301.0177486001048,0.043599900091066957,[0.11018518518518519],[-0.4361111111111111],[1],[0],[0],[3.789163399953395],['target'],01,001,2022-09-29_17h00.18.301,Tutorial_3,2022.2.4,60.31494047587652,
111,0,111,0,10,304.85903730010614,304.85903730010614,0.04344390006735921,[0.4324074074074074],[0.041666666666666664],[1],[0],[0],[1.7621693999972194],['target'],01,001,2022-09-29_17h00.18.301,Tutorial_3,2022.2.4,60.31494047587652,
112,0,112,0,5,306.6459468000103,306.6459468000103,0.022142200032249093,[-0.42685185185185187],[0.075],[1],[0],[0],[2.1316490001045167],['target'],01,001,2022-09-29_17h00.18.301,Tutorial_3,2022.2.4,60.31494047587652,
113,0,113,0,5,308.80821570008993,308.80821570008993,0.024305099854245782,[-0.06851851851851852],[-0.2611111111111111],[1],[0],[0],[3.509230599971488],['target'],01,001,2022-09-29_17h00.18.301,Tutorial_3,2022.2.4,60.31494047587652,
114,0,114,0,10,312.36404819996096,312.36404819996096,0.03628319990821183,[-0.3287037037037037],[-0.16203703703703703],[1],[0],[0],[2.1510451999492943],['target'],01,001,2022-09-29_17h00.18.301,Tutorial_3,2022.2.4,60.31494047587652,
115,0,115,0,10,314.55056820018217,314.55056820018217,0.031676300102844834,[0.3712962962962963],[0.13703703703703704],[1],[0],[0],[2.6049138999078423],['target'],01,001,2022-09-29_17h00.18.301,Tutorial_3,2022.2.4,60.31494047587652,
116,0,116,0,5,317.1852657001,317.1852657001,0.022882899967953563,[0.08796296296296297],[0.36018518518518516],[1],[0],[0],[2.3299214001744986],['target'],01,001,2022-09-29_17h00.18.301,Tutorial_3,2022.2.4,60.31494047587652,
117,0,117,0,10,319.5533897001296,319.5533897001296,0.02946009999141097,[-0.44351851851851853],[0.001851851851851852],[1],[0],[0],[2.124895100016147],['target'],01,001,2022-09-29_17h00.18.301,Tutorial_3,2022.2.4,60.31494047587652,
118,0,118,0,10,321.72246420010924,321.72246420010924,0.03593399981036782,[-0.3472222222222222],[0.3287037037037037],[1],[0],[0],[2.1345271000172943],['target'],01,001,2022-09-29_17h00.18.301,Tutorial_3,2022.2.4,60.31494047587652,
119,0,119,0,5,323.8817147000227,323.8817147000227,0.024103399831801653,[-0.08703703703703704],[0.3472222222222222],[1],[0],[0],[1.7477442000526935],['target'],01,001,2022-09-29_17h00.18.301,Tutorial_3,2022.2.4,60.31494047587652,
120,0,120,0,10,325.67487350013107,325.67487350013107,0.03637910005636513,[-0.037037037037037035],[0.3388888888888889],[1],[0],[0],[1.5360894000623375],['target'],01,001,2022-09-29_17h00.18.301,Tutorial_3,2022.2.4,60.31494047587652,
121,0,121,0,10,327.2573254001327,327.2573254001327,0.0362164000980556,[0.32222222222222224],[-0.38055555555555554],[1],[0],[0],[3.962242899928242],['target'],01,001,2022-09-29_17h00.18.301,Tutorial_3,2022.2.4,60.31494047587652,
122,0,122,0,5,331.24232250009663,331.24232250009663,0.020120600005611777,[-0.22592592592592592],[-0.3425925925925926],[1],[0],[0],[2.6661792998202145],['target'],01,001,2022-09-29_17h00.18.301,Tutorial_3,2022.2.4,60.31494047587652,
123,0,123,0,5,333.9404317000881,333.9404317000881,0.025016400031745434,[0.08148148148148149],[0.43333333333333335],[1],[0],[0],[3.1095913001336157],['target'],01,001,2022-09-29_17h00.18.301,Tutorial_3,2022.2.4,60.31494047587652,
124,0,124,0,10,337.0963179001119,337.0963179001119,0.035747299902141094,[-0.24537037037037038],[-0.09166666666666666],[1],[0],[0],[2.003266300074756],['target'],01,001,2022-09-29_17h00.18.301,Tutorial_3,2022.2.4,60.31494047587652,
125,0,125,0,10,339.13459090003744,339.13459090003744,0.0276682002004236,[0.1962962962962963],[0.10092592592592593],[1],[0],[0],[2.39037899998948],['target'],01,001,2022-09-29_17h00.18.301,Tutorial_3,2022.2.4,60.31494047587652,
126,0,126,0,5,341.5387679999694,341.5387679999694,0.017730599967762828,[-0.275],[0.17222222222222222],[1],[0],[0],[1.7583814999088645],['target'],01,001,2022-09-29_17h00.18.301,Tutorial_3,2022.2.4,60.31494047587652,
127,0,127,0,5,343.3329535999801,343.3329535999801,0.024463600013405085,[-0.11203703703703703],[-0.4388888888888889],[1],[0],[0],[3.1253865999169648],['target'],01,001,2022-09-29_17h00.18.301,Tutorial_3,2022.2.4,60.31494047587652,
128,0,128,0,5,346.4865378001705,346.4865378001705,0.023939199978485703,[0.48055555555555557],[0.47314814814814815],[1],[0],[0],[3.4597666000481695],['target'],01,001,2022-09-29_17h00.18.301,Tutorial_3,2022.2.4,60.31494047587652,
129,0,129,0,5,349.9797752001323,349.9797752001323,0.025162900099530816,[0.4351851851851852],[0.3509259259259259],[1],[0],[0],[1.5136484999675304],['target'],01,001,2022-09-29_17h00.18.301,Tutorial_3,2022.2.4,60.31494047587652,
130,0,130,0,5,351.5229289000854,351.5229289000854,0.024353899993002415,[0.4925925925925926],[0.23703703703703705],[1],[0],[0],[1.8145433000754565],['target'],01,001,2022-09-29_17h00.18.301,Tutorial_3,2022.2.4,60.31494047587652,
131,0,131,0,10,353.3898712999653,353.3898712999653,0.03864269983023405,[0.3712962962962963],[-0.012037037037037037],[1],[0],[0],[2.0666590000037104],['target'],01,001,2022-09-29_17h00.18.301,Tutorial_3,2022.2.4,60.31494047587652,
132,0,132,0,10,355.48752560000867,355.48752560000867,0.029257400194182992,[0.3074074074074074],[-0.3925925925925926],[1],[0],[0],[3.0872850997839123],['target'],01,001,2022-09-29_17h00.18.301,Tutorial_3,2022.2.4,60.31494047587652,
133,0,133,0,5,358.59920950001106,358.59920950001106,0.019353499868884683,[0.0712962962962963],[0.011111111111111112],[1],[0],[0],[1.486498499987647],['target'],01,001,2022-09-29_17h00.18.301,Tutorial_3,2022.2.4,60.31494047587652,
134,0,134,0,10,360.1322234000545,360.1322234000545,0.03505500010214746,[-0.03518518518518519],[0.22314814814814815],[1],[0],[0],[1.7702350001782179],['target'],01,001,2022-09-29_17h00.18.301,Tutorial_3,2022.2.4,60.31494047587652,
135,0,135,0,5,361.92474390007555,361.92474390007555,0.02011849987320602,[0.2074074074074074],[-0.09351851851851851],[1],[0],[0],[1.7515625997912139],['target'],01,001,2022-09-29_17h00.18.301,Tutorial_3,2022.2.4,60.31494047587652,
136,0,136,0,5,363.7102679000236,363.7102679000236,0.02455780003219843,[-0.08703703703703704],[0.001851851851851852],[1],[0],[0],[1.3307007998228073],['target'],01,001,2022-09-29_17h00.18.301,Tutorial_3,2022.2.4,60.31494047587652,
137,0,137,0,5,365.07034209999256,365.07034209999256,0.023293200181797147,[-0.040740740740740744],[0.32685185185185184],[1],[0],[0],[1.5496271001175046],['target'],01,001,2022-09-29_17h00.18.301,Tutorial_3,2022.2.4,60.31494047587652,
138,0,138,0,10,366.6657871999778,366.6657871999778,0.03553029987961054,[-0.1574074074074074],[-0.287962962962963],[1],[0],[0],[2.4499705999623984],['target'],01,001,2022-09-29_17h00.18.301,Tutorial_3,2022.2.4,60.31494047587652,
139,0,139,0,5,369.1244668001309,369.1244668001309,0.01150879985652864,[0.11203703703703703],[-0.09814814814814815],[1],[0],[0],[1.5644400001037866],['target'],01,001,2022-09-29_17h00.18.301,Tutorial_3,2022.2.4,60.31494047587652,
140,0,140,0,10,370.7365054001566,370.7365054001566,0.034746000077575445,[0.48148148148148145],[0.48703703703703705],[1],[0],[0],[6.173969599884003],['target'],01,001,2022-09-29_17h00.18.301,Tutorial_3,2022.2.4,60.31494047587652,
141,0,141,0,5,376.93474419997074,376.93474419997074,0.02028029994107783,[-0.12685185185185185],[-0.31666666666666665],[1],[0],[0],[2.5659112001303583],['target'],01,001,2022-09-29_17h00.18.301,Tutorial_3,2022.2.4,60.31494047587652,
142,0,142,0,10,379.5499252001755,379.5499252001755,0.038470900151878595,[0.19074074074074074],[0.21666666666666667],[1],[0],[0],[2.065827100072056],['target'],01,001,2022-09-29_17h00.18.301,Tutorial_3,2022.2.4,60.31494047587652,
143,0,143,0,10,381.6551471001003,381.6551471001003,0.031632199883461,[-0.1259259259259259],[-0.4083333333333333],[1],[0],[0],[3.6845799998845905],['target'],01,001,2022-09-29_17h00.18.301,Tutorial_3,2022.2.4,60.31494047587652,
144,0,144,0,10,385.3784574000165,385.3784574000165,0.032070100074633956,[-0.287962962962963],[-0.1962962962962963],[1],[0],[0],[1.922315000090748],['target'],01,001,2022-09-29_17h00.18.301,Tutorial_3,2022.2.4,60.31494047587652,
145,0,145,0,5,387.3241215001326,387.3241215001326,0.021388599881902337,[-0.3972222222222222],[0.13425925925925927],[1],[0],[0],[2.1821224000304937],['target'],01,001,2022-09-29_17h00.18.301,Tutorial_3,2022.2.4,60.31494047587652,
146,0,146,0,5,389.52877810015343,389.52877810015343,0.016791600035503507,[0.3611111111111111],[0.2064814814814815],[1],[0],[0],[2.653025599895045],['target'],01,001,2022-09-29_17h00.18.301,Tutorial_3,2022.2.4,60.31494047587652,
147,0,147,0,5,392.22195320017636,392.22195320017636,0.03087939997203648,[0.4648148148148148],[0.16111111111111112],[1],[0],[0],[1.6082741999998689],['target'],01,001,2022-09-29_17h00.18.301,Tutorial_3,2022.2.4,60.31494047587652,
148,0,148,0,5,393.8604764000047,393.8604764000047,0.022835100069642067,[-0.20833333333333334],[0.18796296296296297],[1],[0],[0],[1.9644615000579506],['target'],01,001,2022-09-29_17h00.18.301,Tutorial_3,2022.2.4,60.31494047587652,
149,0,149,0,5,395.85595430014655,395.85595430014655,0.0253218999132514,[-0.030555555555555555],[0.42407407407407405],[1],[0],[0],[1.7470716000534594],['target'],01,001,2022-09-29_17h00.18.301,Tutorial_3,2022.2.4,60.31494047587652,
150,0,150,0,10,397.6475401001517,397.6475401001517,0.03413889999501407,[-0.35555555555555557],[-0.29259259259259257],[1],[0],[0],[2.6852690998930484],['target'],01,001,2022-09-29_17h00.18.301,Tutorial_3,2022.2.4,60.31494047587652,
151,0,151,0,10,400.3700304001104,400.3700304001104,0.02989180013537407,[0.4740740740740741],[-0.35555555555555557],[1],[0],[0],[2.106813000049442],['target'],01,001,2022-09-29_17h00.18.301,Tutorial_3,2022.2.4,60.31494047587652,
152,0,152,0,10,402.51193700009026,402.51193700009026,0.03411000012420118,[0.15648148148148147],[-0.032407407407407406],[1],[0],[0],[2.1033377998974174],['target'],01,001,2022-09-29_17h00.18.301,Tutorial_3,2022.2.4,60.31494047587652,
153,0,153,0,5,404.6436400001403,404.6436400001403,0.021235600113868713,[0.09351851851851851],[-0.1175925925925926],[1],[0],[0],[1.5011762001086026],['target'],01,001,2022-09-29_17h00.18.301,Tutorial_3,2022.2.4,60.31494047587652,
154,0,154,0,10,406.1903295000084,406.1903295000084,0.032809399999678135,[-0.23981481481481481],[-0.37222222222222223],[1],[0],[0],[2.885857099900022],['target'],01,001,2022-09-29_17h00.18.301,Tutorial_3,2022.2.4,60.31494047587652,
155,0,155,0,10,409.11209619999863,409.11209619999863,0.03316959994845092,[0.36666666666666664],[0.4648148148148148],[1],[0],[0],[4.845138699980453],['target'],01,001,2022-09-29_17h00.18.301,Tutorial_3,2022.2.4,60.31494047587652,
156,0,156,0,10,413.999496600125,413.999496600125,0.035939899971708655,[0.46944444444444444],[0.4722222222222222],[1],[0],[0],[1.9855837000068277],['target'],01,001,2022-09-29_17h00.18.301,Tutorial_3,2022.2.4,60.31494047587652,
157,0,157,0,10,416.0310396000277,416.0310396000277,0.03371890005655587,[0.39814814814814814],[-0.46574074074074073],[1],[0],[0],[2.817284000106156],['target'],01,001,2022-09-29_17h00.18.301,Tutorial_3,2022.2.4,60.31494047587652,
158,0,158,0,5,418.86967280018143,418.86967280018143,0.02111140009947121,[0.2111111111111111],[-0.36018518518518516],[1],[0],[0],[1.751044100150466],['target'],01,001,2022-09-29_17h00.18.301,Tutorial_3,2022.2.4,60.31494047587652,
159,0,159,0,10,420.6621365000028,420.6621365000028,0.03157410002313554,[-0.24074074074074073],[-0.026851851851851852],[1],[0],[0],[2.2385720000602305],['target'],01,001,2022-09-29_17h00.18.301,Tutorial_3,2022.2.4,60.31494047587652,
160,0,160,0,5,422.9260863000527,422.9260863000527,0.0199068000074476,[0.49537037037037035],[0.2675925925925926],[1],[0],[0],[1.984813699964434],['target'],01,001,2022-09-29_17h00.18.301,Tutorial_3,2022.2.4,60.31494047587652,
161,0,161,0,5,424.94715300016105,424.94715300016105,0.028459900058805943,[-0.3287037037037037],[-0.3648148148148148],[1],[0],[0],[2.956492400029674],['target'],01,001,2022-09-29_17h00.18.301,Tutorial_3,2022.2.4,60.31494047587652,
162,0,162,0,10,427.95158160012215,427.95158160012215,0.03664429998025298,[-0.08055555555555556],[0.12222222222222222],[1],[0],[0],[2.1671889000572264],['target'],01,001,2022-09-29_17h00.18.301,Tutorial_3,2022.2.4,60.31494047587652,
163,0,163,0,5,430.1432533999905,430.1432533999905,0.02335879998281598,[0.4527777777777778],[0.29907407407407405],[1],[0],[0],[1.9147231001406908],['target'],01,001,2022-09-29_17h00.18.301,Tutorial_3,2022.2.4,60.31494047587652,
164,0,164,0,5,432.09297240013257,432.09297240013257,0.027247099904343486,[0.21388888888888888],[-0.24722222222222223],[1],[0],[0],[3.0910171000286937],['target'],01,001,2022-09-29_17h00.18.301,Tutorial_3,2022.2.4,60.31494047587652,
165,0,165,0,10,435.2265550000593,435.2265550000593,0.03503579995594919,[-0.04537037037037037],[0.25462962962962965],[1],[0],[0],[1.952300600009039],['target'],01,001,2022-09-29_17h00.18.301,Tutorial_3,2022.2.4,60.31494047587652,
166,0,166,0,5,437.2094007001724,437.2094007001724,0.026919599855318666,[-0.03148148148148148],[-0.2962962962962963],[1],[0],[0],[2.044029099866748],['target'],01,001,2022-09-29_17h00.18.301,Tutorial_3,2022.2.4,60.31494047587652,
167,0,167,0,5,439.2866167000029,439.2866167000029,0.022121999878436327,[-0.14074074074074075],[0.49074074074074076],[1],[0],[0],[2.4316295001190156],['target'],01,001,2022-09-29_17h00.18.301,Tutorial_3,2022.2.4,60.31494047587652,
168,0,168,0,10,441.76507490011863,441.76507490011863,0.037479500053450465,[-0.45],[-0.1425925925925926],[1],[0],[0],[1.850073500070721],['target'],01,001,2022-09-29_17h00.18.301,Tutorial_3,2022.2.4,60.31494047587652,
169,0,169,0,10,443.6510336000938,443.6510336000938,0.0292881999630481,[-0.09074074074074075],[0.10555555555555556],[1],[0],[0],[1.6260519998613745],['target'],01,001,2022-09-29_17h00.18.301,Tutorial_3,2022.2.4,60.31494047587652,
170,0,170,0,10,445.31597460014746,445.31597460014746,0.032868900103494525,[-0.49722222222222223],[0.22962962962962963],[1],[0],[0],[2.0048352000303566],['target'],01,001,2022-09-29_17h00.18.301,Tutorial_3,2022.2.4,60.31494047587652,
